product_id,product_he,product_en,moq,unit_price_at_500,unit_price_at_1000,unit_price_at_2500,unit_price_at_5000,unit_price_at_10000,unit_price_at_25000,unit_price_at_50000,unit_price_at_100000,notes
PB-001,קופסת המבורגר צדפה,Coated Paperboard Burger Clamshell,1000,,,,,,,,,
PB-002,קופסת המבורגר קראפט,Corrugated Kraft Burger Box,500,,,,,,,,,
PB-003,כוס משקה קר 16oz,16oz Paper Cold Cup,1000,,,,,,,,,
PB-004,שקית נשיאה SOS,Large SOS Paper Carrier Bag,500,,,,,,,,,
PB-005,קופסת ארוחה מרובעת,Two-Piece Square Meal Box,500,,,,,,,,,
PB-006,כוס/סקופ צ'יפס,Paper Fries Scoop / Snack Cup,1000,,,,,,,,,
PB-007,מפיות נייר ממותגות,Branded Printed Paper Napkins,5000,,,,,,,,,
PB-008,כרטיסי ביקור,Premium Double-Sided Business Cards,250,,,,,,,,,
PB-009,כוס בצורת U מנייר,Paper U-Cup,1000,,,,,,,,,
PB-010,כוס U פלסטיק שקוף,Clear Plastic U-Cup,1000,,,,,,,,,
PB-011,כוס פלסטיק שקוף קלאסית,Classic Clear Plastic Cup,1000,,,,,,,,,
PB-012,נייר עטיפה למזון,Food Wrapping Paper,1000,,,,,,,,,
PB-013,שקית קוקי יחידנית,Single-Serve Cookie Bag,1000,,,,,,,,,
PB-014,קופסת דונאטס / מאפים,Donut / Pastry Box,500,,,,,,,,,
PB-015,שקית לחם מאפייה Tin-Tie,Tin-Tie Bakery Bread Bag,1000,,,,,,,,,
PB-016,מגש נשיאה ל-3 כוסות,3-Cup Carrier Tray,500,,,,,,,,,
PB-017,מגש סכו"ם עם תכולה,Cutlery Tray with Contents,500,,,,,,,,,
PB-018,קופסת מתנה פויל יוקרתית,Premium Foil Gift Box,500,,,,,,,,,
PB-019,קופסת ארוחה Gable,Gable Meal Box,500,,,,,,,,,
PB-020,קופסת קומבו עוף,Chicken Combo Box,500,,,,,,,,,
PB-021,קופסת דונאטס מחולקת,Compartment Donut Box,500,,,,,,,,,
PB-022,מגשית,Mini Tray,500,,,,,,,,,
PB-023,קופסת פיצה משולשת,Triangle Pizza Box,250,,,,,,,,,
PB-024,קופסת פיצה מרובעת,Square Pizza Box,250,,,,,,,,,
PB-025,גליל סושי - גרסה דקה,Sushi Roll - Slim,500,,,,,,,,,
PB-026,גליל סושי (פטנט-Shape),Sushi Roll Patent Shape,500,,,,,,,,,
PB-027,קערת סלט / פוקה / פסטה,Salad / Poke / Pasta Bowl,500,,,,,,,,,
PB-028,כוס גלידה פינט 1PINT,1-Pint Ice Cream Cup,500,,,,,,,,,
PB-029,כוס חמה דופן רגילה,Single-Wall Hot Cup,1000,,,,,,,,,
PB-030,כוס חמה דופן כפולה,Double-Wall Hot Cup,1000,,,,,,,,,
